k,label_prior,max_iter,max_total_weight,min_cluster_size,min_prob,model_prior_strength,n_iter,n_neighbors,noise_prior,tolerance,iteration,train_size,duration,adj_rand,adj_rand_no_noise,number_of_clusters,proportion_of_noise
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,0,0.9,179.2225956916809,0.8832030457209874,0.9119969287628895,11,0.025380952380952383
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,1,0.9,7.540496587753296,0.8818279786097013,0.9110612280877304,11,0.025761904761904764
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,2,0.9,6.338827133178711,0.8842575493407723,0.9137038997035527,11,0.025873015873015874
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,3,0.9,6.7507853507995605,0.8791939759304829,0.909728787430569,11,0.02688888888888889
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,4,0.9,6.952305555343628,0.8887644622277133,0.9194228227490607,11,0.026714285714285715
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,5,0.9,6.856893539428711,0.8851602098038439,0.913223053540872,11,0.024761904761904763
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,6,0.9,6.767063617706299,0.8875265630945949,0.9171659855303727,11,0.025952380952380952
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,7,0.9,6.9556050300598145,0.8801802972444104,0.9090182981177858,11,0.025507936507936507
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,8,0.9,9.012945175170898,0.8902200889811421,0.920129891105246,11,0.02607936507936508
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,9,0.9,6.344862461090088,0.8465415538634128,0.8778244233148497,12,0.027666666666666666
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,10,0.9,6.865750074386597,0.8866597170458451,0.9161228315233106,11,0.025904761904761906
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,11,0.9,6.21931791305542,0.8863665185064123,0.9164236689024697,11,0.026317460317460316
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,12,0.9,6.533721208572388,0.8880992901893714,0.9183721824323674,11,0.02642857142857143
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,13,0.9,7.217446565628052,0.8776415788272657,0.9078697413189035,11,0.026698412698412697
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,14,0.9,7.078210830688477,0.8791542947508754,0.9095839305397562,11,0.02677777777777778
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,15,0.9,6.96596360206604,0.8821893070822245,0.9117229688831057,11,0.02603174603174603
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,16,0.9,7.343553304672241,0.8785071657970486,0.9082307879905339,11,0.02626984126984127
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,17,0.9,7.455156564712524,0.8827751403103387,0.9118071332871402,11,0.025619047619047618
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,18,0.9,7.193422555923462,0.8811558922701465,0.9103940010526128,11,0.025857142857142856
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,19,0.9,7.007208347320557,0.8445615314584292,0.8789772621475104,12,0.0303015873015873
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,20,0.9,6.619713306427002,0.8849004590302061,0.9149823861720486,11,0.026396825396825398
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,21,0.9,6.923689365386963,0.8776517076669114,0.9059604771649751,11,0.025158730158730158
