k,label_prior,max_iter,max_total_weight,min_cluster_size,min_prob,model_prior_strength,n_iter,n_neighbors,noise_prior,tolerance,iteration,train_size,duration,adj_rand,adj_rand_no_noise,number_of_clusters,proportion_of_noise
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,0,0.9,145.70726037025452,0.8880233067022346,0.9180647784049178,11,0.02626984126984127
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,1,0.9,6.222154378890991,0.8802845832700186,0.9088840792758379,11,0.02534920634920635
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,2,0.9,6.535604238510132,0.8805895524356924,0.9114124373279716,11,0.027063492063492064
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,3,0.9,6.74225926399231,0.8750667465857941,0.9044734613291605,11,0.026111111111111113
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,4,0.9,6.901736736297607,0.883575476694438,0.9146888007395378,11,0.02722222222222222
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,5,0.9,7.461759328842163,0.8843073934887273,0.9148265207962596,11,0.02673015873015873
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,6,0.9,6.918421030044556,0.8738959898370177,0.9035123200650349,11,0.026349206349206348
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,7,0.9,7.903357267379761,0.8755211669840152,0.9054006651425107,11,0.026523809523809522
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,8,0.9,6.785274505615234,0.8872274489946049,0.9160518945653318,11,0.02531746031746032
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,9,0.9,7.359384536743164,0.8793537835200491,0.9092875712217015,11,0.026460317460317462
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,10,0.9,7.335191488265991,0.885108147311753,0.9148878151969788,11,0.026126984126984127
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,11,0.9,7.139770269393921,0.8755141634223286,0.9106960722428329,11,0.031
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,12,0.9,6.812559366226196,0.8799156637668498,0.9098058723526191,11,0.02638095238095238
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,13,0.9,7.086766242980957,0.884457589953804,0.9132325253997666,11,0.025365079365079365
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,14,0.9,6.664709091186523,0.8852230846204758,0.9150564783669042,11,0.026174603174603173
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,15,0.9,7.579486131668091,0.8803005799913483,0.9105943926009094,11,0.026698412698412697
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,16,0.9,6.501506567001343,0.8845155340723813,0.9143679728956701,11,0.026206349206349205
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,17,0.9,6.764842987060547,0.8813179071216205,0.9105363705253038,11,0.025793650793650792
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,18,0.9,7.033159255981445,0.8895609766111827,0.9198714454558309,11,0.026396825396825398
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,19,0.9,6.991098880767822,0.8897654122324555,0.9187272185954621,11,0.025380952380952383
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,20,0.9,6.863161087036133,0.8856708343369964,0.9155298435443149,11,0.02619047619047619
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,21,0.9,6.002665996551514,0.8768298357642832,0.9062104278334047,11,0.02604761904761905
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,22,0.9,6.23737096786499,0.8786702697776416,0.9084863870736719,11,0.026333333333333334
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,23,0.9,6.737100601196289,0.8821155477935307,0.9120747630316414,11,0.026365079365079366
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,24,0.9,6.2427167892456055,0.8882974684464606,0.9184841062277265,11,0.026365079365079366
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,25,0.9,6.885899066925049,0.8847725860946872,0.9146157580266657,11,0.02619047619047619
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,26,0.9,6.016327142715454,0.8468954402796172,0.8841003306852333,12,0.03253968253968254
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,27,0.9,6.14359974861145,0.8780563149512866,0.9071346407774414,11,0.025777777777777778
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,28,0.9,5.774887800216675,0.885905850697578,0.9165340668035532,11,0.02677777777777778
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,29,0.9,6.754973888397217,0.8801382085868278,0.9104803514306329,11,0.026714285714285715
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,30,0.9,6.6568284034729,0.8760916550988678,0.9064430292281696,11,0.026825396825396825
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,31,0.9,6.4642369747161865,0.8806571859869684,0.9105847548257241,11,0.02638095238095238
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,32,0.9,6.244535207748413,0.8815940126309818,0.9117163830951832,11,0.02649206349206349
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,33,0.9,6.521347999572754,0.8806247230033311,0.9095606902428081,11,0.025603174603174603
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,34,0.9,7.308515548706055,0.8812069129070077,0.9110756056602803,11,0.026333333333333334
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,35,0.9,7.158099889755249,0.884570224951972,0.9148895928840972,11,0.026571428571428572
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,36,0.9,7.192596435546875,0.8746550623465338,0.9035199810445858,11,0.0256984126984127
1,0.9,50,64.0,800,0.0001,0.0,3,30,0.1,1e-05,37,0.9,7.246025323867798,0.8588989277745815,0.8926694867622256,12,0.0293015873015873
